"id","name","cn_name","category","description"
22,BursaphelenchusXylophilus,松材线虫,病原与病害,引起松材线虫病的微小蠕虫，繁殖快，致病力极强。
23,Symptom,症状,症状表现,寄主植物受病原侵染后表现出的病理变化和形态特征。
24,InitialStage,初期表现,症状表现,树脂分泌减少或停止，针叶失去光泽，较难被肉眼发现。
25,PoorGrowth,生长不良,症状表现,树势衰退，新梢生长缓慢，是受害后的早期生理反应。
26,YellowNeedles,叶色变黄色,症状表现,针叶失绿变黄，说明水分输导受阻，病害已进入发展期。
27,MidTermStage,中期表现,症状表现,部分针叶变黄下垂，木质部逐渐干燥，树脂道堵塞。
28,NeedlesUpsideAndDown,针叶倒挂下垂,症状表现,萎蔫的针叶不脱落，呈下垂状，是该病典型症状之一。
29,DeathStage,死亡表现,症状表现,整株枯死，针叶全红，木质部蓝变，由于水分完全阻断。
30,ReddishBrownNeedles,针叶变为红褐色,症状表现,病死木的典型特征，整株针叶枯死变红，极易辨认。
31,Features,特点,病害特征,描述该病害在发生、发展和传播过程中的主要属性。
32,SpreadQuickly,传播蔓延迅速,病害特征,借助媒介昆虫和人为调运，疫情可短时间跨区域扩散。
33,IllnessCourseShort,病程短,病害特征,从感病到整株枯死往往只需数月，防治窗口期很短。
34,HighDeathRate,病死率高,病害特征,一旦感病几乎无法治愈，林分往往成片枯死，毁灭性大。
35,RiskAssessmentProcess,风险评估进程,风险评估,对有害生物入侵、定殖及造成损失的系统性分析过程。
36,RiskAssessment,风险评估,风险评估,综合判断松材线虫病发生的可能性及其潜在后果的评价。
37,PossibilityStudy,可能性研究,风险评估,分析病原物传入、定殖和扩散概率的科学研判。
38,InvasionPossibilityResearch,入侵可能性研究,风险评估,研究松材线虫通过自然或人为途径进入新区域的概率。
39,NaturalInvasionPossibility,自然入侵可能性,风险评估,依靠媒介昆虫飞行等自然力量进行近距离扩散的可能性。
40,EpidemicAreaInTheSurroundingArea,周边有该病疫区,环境与风险因子,邻近地区发生疫情，增加了病害自然扩散传入的风险。
41,HasVector,有传播媒介,环境与风险因子,区域内存在松褐天牛等媒介，具备病害传播的必要条件。
42,HasHost,有该病寄主,环境与风险因子,拥有大量易感松树资源，为病害发生提供了物质基础。
43,SuitableClimateCondition,气候条件适宜,环境与风险因子,温湿度适宜线虫繁殖和天牛发育，利于病害爆发。
44,ArtificialInvasionPossibility,人为入侵可能性,风险评估,带有松材线虫的木材被人为携带传入，造成远距离跳跃式传播。
45,Trade,经济贸易往来,环境与风险因子,频繁的物流和木材制品运输增加了疫木传入的风险。
46,MoreFlower,苗木花卉资源增加,环境与风险因子,苗木调运可能夹带染疫松木包装，增加隐性传入风险。
47,ColonizationPossibilityResearch,定殖可能性研究,风险评估,评估线虫传入后能否在当地环境生存并建立种群。
48,HarmfulnessResearch,危害度研究,风险评估,预测病害爆发后对生态、经济和社会造成的潜在损失。
49,BiologicalCharacteristics,生物学特性,病害特征,病原和媒介昆虫的生活史、繁殖习性等基础生物学属性。
50,Spring_LarvaStage,春季幼虫期,病害特征,媒介昆虫幼虫在树干内活动，是防治和清理的关键时期。
51,AbilityToCarryLarvae,携带线虫能力,病害特征,媒介昆虫携带线虫数量的多少，直接影响传播效率。
52,SummerAndAutumn_AdultStage,夏秋成虫期,病害特征,天牛羽化飞出，通过补充营养啃食枝条传播线虫。
53,AltitudeUnder1100,海拔1100m以下,环境与风险因子,低海拔地区气温较高，更适宜松材线虫和媒介昆虫生存。
54,HostDistribution,寄主分布,环境与风险因子,寄主植物在地理空间上的排列状况，影响病害蔓延速度。
55,HostCaregory,种类,环境与风险因子,不同松树品种对线虫的抗性不同，影响风险等级。
56,HostArea,面积,环境与风险因子,寄主林分的连片程度和规模，面积大则防控难度大。
57,HostVerticalDistribution,垂直分布,环境与风险因子,海拔高度对寄主生长的影响，间接影响病害发生。
58,HostDifferentArea,不同区域,环境与风险因子,不同行政或地理区域的寄主林相差异及管理现状。
59,HostDiseaseResistance,抗感病性,环境与风险因子,寄主抵御病原感染的能力，决定了病害发生的严重程度。
60,RiskLevelClassification,风险等级划分,风险评估,根据评估结果将风险分为高、中、低等不同级别。
61,RiskDealMethod,处理风险的方法,防治措施,针对不同风险等级采取的相应管理和技术手段。
62,LossAssessment,损失程度研究,风险评估,量化评估病害造成的木材损失、生态破坏及治理成本。
63,Temperature,温度,环境与风险因子,年均温及夏季高温是影响线虫繁殖力的关键气象因子。
64,HostHealthCondition,寄主健康状况,环境与风险因子,树势衰弱的松林更易吸引天牛产卵，从而加剧疫情。
65,VectorCategory,种类,环境与风险因子,区域内媒介昆虫的种类构成，不同种类传播能力不同。
66,HostResistance,感病性,环境与风险因子,指松树感染后发病的难易程度，感病性高则风险大。
67,PathogenDistribution,病原体分布,环境与风险因子,松材线虫目前的地理分布范围，反映疫情压逼态势。
68,HostValue,寄主价值,环境与风险因子,松林在生态景观、经济用材等方面的价值，影响保护优先级。
69,ClimateConditionResearch,气象条件研究,环境与风险因子,分析气温、降雨等因子对病害发生发展的影响。
70,AverageTemperature,年平均气温,环境与风险因子,衡量地区热量资源，通常年均温较高地区风险更大。
71,SevenToEightTemperature,"7-8月均温",环境与风险因子,夏季高温期是线虫繁殖高峰，直接关系当年枯死量。
72,Rainfall,降雨,环境与风险因子,降雨量影响树木抗性，持续干旱会加速感病树木死亡。
73,YearRain,年降雨量,环境与风险因子,年度水分供给情况，影响寄主生长势和媒介昆虫羽化。
74,SixToEightRain,"6-8月降雨量",环境与风险因子,夏季降水少会导致树木水分胁迫，加剧病情发展。
75,HighRisk,高风险,评估结果,松材线虫高度适生，一旦传入将造成重大生态灾难。
76,MediumRisk,中风险,评估结果,环境适宜病原生存，能够造成一定程度的危害。
77,LowRisk,低风险,评估结果,环境条件不利于大规模爆发，但仍需监测个别发病。
78,NoRisk,无风险,评估结果,环境条件极端（如极寒），松材线虫无法在当地生存。
79,PreventionMethod,预防措施,防治措施,为防止病害发生或蔓延而采取的综合性治理手段。
80,PreventPathogen,防止病原进入,防治措施,通过检疫封锁等手段，阻断松材线虫进入非疫区。
81,QuarantineInspectionStation,检疫检查站,防治措施,在关键路口设立站点，拦截违规调运的松木及制品。
82,QuarantinePatrolRoutine,检疫例行巡查,防治措施,定期在辖区内巡查，打击非法加工、运输松木行为。
83,MultiPartyCooperationSupervision,多方合作监督,防治措施,林业、海关、交通等多部门联动，形成联防联控机制。
84,ReducePopulationDensity,降低媒介昆虫种群密度,防治措施,通过诱杀、喷药等方式减少天牛数量，切断传播链。
85,RodentsAttractant,引诱剂活立木法,防治措施,利用化学引诱剂诱捕天牛成虫，降低林间虫口密度。
86,ManagementSystem,建立预警监测制度,防治措施,构建全面的疫情监测网络，确保早发现、早报告。
87,DesignateKeyMonitoringAreas,划定重点监测区,防治措施,对风景名胜、生态敏感区等关键区域进行重点监控。
88,RegularCheck,对可疑松木进行定期的检测,防治措施,定期取样鉴定枯死或变色松木，确认是否感染线虫。
89,RegularAssessment,定期做风险性评估,防治措施,根据疫情动态和环境变化，动态调整防控策略。
90,EmergencyPlan,应急预案,防治措施,制定突发疫情处置方案，确保发生疫情时能迅速响应。
91,ManagingSickWood,管理病木,防治措施,对确诊的疫木进行严格监管，防止流失造成人为传播。
92,EpidemicSpreadMonitoring,疫情扩散监测,防治措施,跟踪疫情边界变化，掌握扩散方向，指导防除作业。
93,CleanUpTheHost,清理寄主,防治措施,在隔离带或核心区皆伐寄主松树，彻底消除隐患。
94,CleanUpDeadWood,清理枯死木,防治措施,及时伐除并除害处理林间死树，消除天牛滋生场所。
95,MonitorSurroundings,在疫情发生周围做监测工作,防治措施,对疫点周边区域进行拉网式排查，防止疫情外溢。
